RIAD_CODE	LEI	COUNTRY_OF_REGISTRATION	NAME	BOX	ADDRESS	POSTAL	CITY	CATEGORY	HEAD_COUNTRY_OF_REGISTRATION	HEAD_NAME	HEAD_RIAD_CODE	HEAD_LEI	REPORT
PL09270	259400KR0PUIX6M2NJ12	PL	Bank Spółdzielczy w Warcie		ul. Klasztorna 1	98-290	Warta	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09271	259400FPP8NQGCPUP618	PL	Bank Spółdzielczy w Wartkowicach		ul. Targowa 12	99-220	Wartkowice	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09279	2594003UN4UY4R9CCQ56	PL	Ludowy Bank Spółdzielczy w Zduńskiej Woli		ul. Dąbrowskiego 31	98-220	Zduńska Wola	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09283	259400DYMP3J85BRB032	PL	Bank Spółdzielczy w Sochaczewie		ul. Reymonta 18	96-500	Sochaczew	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09288	2594007D3XAYS31S4D59	PL	Bank Spółdzielczy Ziemi Łowickiej w Łowiczu		Stary Rynek 18	99-400	Łowicz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09291	2594007SQYG3XRP3HC10	PL	Bank Spółdzielczy w Białej Rawskiej		ul. Jana Pawła II 38	96-230	Biała Rawska	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09297	2594006BM6YARY6YFU51	PL	Bank Spółdzielczy w Skierniewicach		ul. Reymonta 25	96-100	Skierniewice	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09302	9845009014D73A693D86	PL	Bank Spółdzielczy w Mszczonowie		ul. Warszawska 5	96-320	Mszczonów	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09315	259400CWD9NHB8LBEI98	PL	Bank Spółdzielczy w Ustce		ul. Marynarki Polskiej 38	76-270	Ustka	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09317	894500A0GC41E5YB9P91	PL	Bank Spółdzielczy w Sławnie		ul. Kopernika 5	76-100	Sławno	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09321	259400MC32BAREMCMJ11	PL	Bank Spółdzielczy w Bytowie		ul. Wojska Polskiego 33	77-100	Bytów	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09326	259400Q6Y7CGU000AK64	PL	Bank Spółdzielczy w Człuchowie		ul. Zamkowa 23	77-300	Człuchów	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09331	2594002ODB675SGWKL03	PL	Bank Spółdzielczy w Ełku		ul. Mickiewicza 15	19-300	Ełk	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09334	259400VWCY5K9ZVPDX37	PL	Bank Spółdzielczy w Bargłowie Kościelnym		ul. Tysiąclecia 6A	16-320	Bargłów Kościelny	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09339	259400JWDZCT0GRSIM29	PL	Bank Spółdzielczy w Olecku		ul. Cicha 2	19-400	Olecko	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09343	259400K7Q6IYTBR0ZT06	PL	Mazurski Bank Spółdzielczy w Giżycku		ul. gen. Józefa Zajączka 1	11-500	Giżycko	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09348	259400HOI1GP5DWMKL84	PL	Bank Spółdzielczy w Węgorzewie		ul. Zamkowa 27	11-600	Węgorzewo	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09351	259400M7A9Z82B48B689	PL	Bank Spółdzielczy w Augustowie		ul. 3 Maja 13	16-300	Augustów	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09354	259400D7A683XP5BUN52	PL	Bank Spółdzielczy w Sejnach		ul. Powstańców Sejneńskich 1	16-500	Sejny	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09359	259400UCK0UOQ5LF8X79	PL	Bank Spółdzielczy w Suwałkach		ul. Utrata 4	16-400	Suwałki	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09364	259400BILZFH923Q1N56	PL	Warmińsko-Mazurski Bank Spółdzielczy		ul. Gizewiusza 2A	12-200	Pisz	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09367	259400MM6NXBQDRFYZ96	PL	Bank Spółdzielczy w Rutce-Tartak		ul. Sejneńska 2	16-400	Suwałki	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09370	259400GRW3OYNNE54C94	PL	Bank Spółdzielczy w Chojnie		ul. Jagiellońska 9	74-500	Chojna	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09375	9845006EG397FE4B5893	PL	Bank Spółdzielczy w Goleniowie		ul. Konstytucji 3 Maja 56	72-100	Goleniów	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
PL09376	25940013KMX50IFEEG03	PL	Bank Spółdzielczy w Gryficach		pl. Zwycięstwa 5	72-300	Gryfice	Credit Institution					Euro Area BSI Statistics full (non-tail) reporter
